"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\frontView.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\guyWire.svg", "XML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 3, 47
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\inletNozzle.svg", "XML", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 2, 66
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\leftView.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\logoA.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 1, 9
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\member.svg", "XML", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 2, 63
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\mouse.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\mouseLeft.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\mouseRight.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\mouseWheelDown.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
